spot,公園,博物館,校園,露營,遊樂園,園區,親子,廟宇,老街,歷史,藝術,觀光工廠,景觀,溫泉,農場,餐廳,美食,夜景,夜市,咖啡廳,展覽,車站,花海,拍照,步道,自然,寵物,異國,情侶
平溪郵局老郵筒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
滬尾櫻花大道,0.18787495621177672,0.09393747810588836,0.0,0.09393747810588836,0.0,0.09393747810588836,0.37574991242355343,0.4696873905294418,0.09393747810588836,0.18787495621177672,0.0,0.0,0.09393747810588836,0.0,0.09393747810588836,0.09393747810588836,0.09393747810588836,0.09393747810588836,0.0,0.09393747810588836,0.0,0.09393747810588836,0.9393747810588836,0.18787495621177672,0.18787495621177672,0.0,0.0,0.09393747810588836,0.0
灣潭,0.07267073745834711,0.036335368729173555,0.07267073745834711,0.21801221237504131,0.0,0.0,0.25434758110421485,0.7630427433126447,0.036335368729173555,0.3996890560209091,0.07267073745834711,0.0,0.25434758110421485,0.0,0.10900610618752066,0.036335368729173555,0.036335368729173555,0.036335368729173555,0.0,0.0,0.0,0.25434758110421485,0.6177012683959503,0.18167684364586775,0.7993781120418182,0.5450305309376032,0.036335368729173555,0.07267073745834711,0.0
源茂山登山步道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
辭修公園,0.5198603854199589,0.0,0.0,0.0,0.0,0.0,0.25993019270997947,0.25993019270997947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25993019270997947,0.0,0.25993019270997947,0.25993019270997947,0.0,0.25993019270997947,0.0
雙溪車站早市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新太源藝術工坊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蔡政杰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鹽寮海濱公園(藍灣海濱休憩園區),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
燕子湖風景區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
直潭淨水廠、攔水壩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
逸仙山(蝙蝠山)步道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
二龍山登山步道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
土埆厝,0.3879585127505018,0.3879585127505018,0.0,0.0,0.0,0.0,0.6061851761726591,0.024247407046906363,0.3879585127505018,0.024247407046906363,0.07274222114071908,0.3879585127505018,0.41220591979740817,0.0,0.048494814093812726,0.41220591979740817,0.5576903620788464,0.0,0.3879585127505018,0.048494814093812726,0.0,0.0,0.43645332684431454,0.1939792563752509,0.07274222114071908,0.09698962818762545,0.0,0.41220591979740817,0.048494814093812726
龍鳳巖登山步道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
野柳里登山步道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.34657359027997264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34657359027997264,0.0,0.0,0.0,0.0
三峽歷史文物館,0.16665960847389508,0.0,0.0,0.0,0.0,0.0,0.16665960847389508,0.16665960847389508,0.33331921694779015,0.33331921694779015,0.16665960847389508,0.0,0.33331921694779015,0.0,0.16665960847389508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16665960847389508,0.16665960847389508,0.16665960847389508,0.33331921694779015,0.16665960847389508,0.0,0.0
三鶯龍窯橋,0.19730379672781054,0.0,0.0,0.0,0.0,0.0,0.3946075934556211,0.19730379672781054,0.19730379672781054,0.0,0.0,0.0,0.19730379672781054,0.19730379672781054,0.0,0.0,0.0,0.19730379672781054,0.0,0.0,0.0,0.0,0.19730379672781054,0.19730379672781054,0.19730379672781054,0.19730379672781054,0.0,0.0,0.19730379672781054
柴寮古道,0.0,0.0,0.0,0.0,0.0,0.0,0.2648378191956621,0.5296756383913243,0.0,0.13241890959783106,0.13241890959783106,0.0,0.6620945479891553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5296756383913243,0.13241890959783106,0.0,0.6620945479891553,0.13241890959783106,0.0,0.0,0.0
山宛然客家布袋戲團,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大羅蘭溪,0.40897750642554126,0.0,0.13632583547518043,0.0,0.0,0.0,0.27265167095036086,0.0,0.27265167095036086,0.13632583547518043,0.0,0.0,0.27265167095036086,0.0,0.0,0.13632583547518043,0.0,0.0,0.0,0.0,0.0,0.0,0.6816291773759021,0.0,0.6816291773759021,0.13632583547518043,0.0,0.0,0.0
枋橋建學碑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
