num,value
0,公園
1,博物館
2,校園
3,露營
4,遊樂園
5,園區
6,親子
7,廟宇
8,老街
9,歷史
10,藝術
11,觀光工廠
12,景觀
13,溫泉
14,農場
15,餐廳
16,美食
17,夜景
18,夜市
19,咖啡廳
20,展覽
21,車站
22,花海
23,拍照
24,步道
25,自然
26,寵物
27,異國
28,情侶
