spot,公園,博物館,校園,露營,遊樂園,園區,親子,廟宇,老街,歷史,藝術,觀光工廠,景觀,溫泉,農場,餐廳,美食,夜景,夜市,咖啡廳,展覽,車站,花海,拍照,步道,自然,寵物,異國,情侶
中和瑞穗配水池,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五股龍鳳巖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菁桐一坑口聚落,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樹梅坑登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伊豆商店,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
博愛藝術街,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
平溪商圈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中和霹靂宮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天上山系步道支線-清溪步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潤濟宮登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玫瑰公園,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0
台灣農林大寮茶文館,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
保慶宮至信賢步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青潭尖(大崎頭山),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坪林觀魚步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
硬漢嶺,0.070175439,0.01754386,0,0.00877193,0.00877193,0,0.052631579,0.096491228,0.01754386,0.078947368,0.035087719,0.00877193,0.096491228,0.00877193,0.01754386,0.026315789,0.043859649,0.026315789,0,0,0.01754386,0.026315789,0.114035088,0.00877193,0.114035088,0.078947368,0,0,0.026315789
一線天,0.164948454,0,0.010309278,0,0,0,0.030927835,0.041237113,0.020618557,0.041237113,0.020618557,0,0.154639175,0.041237113,0,0.020618557,0.030927835,0.041237113,0,0,0,0.020618557,0.020618557,0.072164948,0.164948454,0.092783505,0.010309278,0,0
蘆堤寵物公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林泉成古厝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬善同,0.142857143,0,0,0,0,0,0,0.285714286,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.142857143,0,0,0
新莊保元宮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新店獅仔頭山隘勇線,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
親水廣場,0.125,0,0,0,0,0,0.208333333,0.041666667,0,0.041666667,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.041666667,0.083333333,0.125,0.125,0.083333333,0,0.041666667
普陀山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中和慈安宮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牧師樓,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0
土城媽祖田運動公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苧仔潭古道,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
烏來遊仙登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣Panasonic展示館,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永和商圈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中和紫竹寺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新莊廣福宮,0,0,0,0,0,0,0,0.5,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
平林村東和登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
疏洪生態公園,0.214285714,0.071428571,0,0,0,0,0.142857143,0,0,0,0.071428571,0,0.142857143,0,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0,0.142857143,0.071428571,0,0
老梅迷宮,0.061538462,0.015384615,0,0,0,0,0.076923077,0.046153846,0.030769231,0.015384615,0.076923077,0.015384615,0.092307692,0,0,0.092307692,0.076923077,0,0,0,0.015384615,0.076923077,0.046153846,0.046153846,0.046153846,0.046153846,0.015384615,0.046153846,0.061538462
戰俘營紀念碑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中興福德宮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豐林礦坑遺址,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三空泉登山步道資料,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
米市巷,0,0,0,0,0,0,0,0.4,0.1,0.3,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
漁光里步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
米靈岸音樂劇場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滴水觀音步道,0,0,0,0,0,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.333333333,0,0,0,0
樹林抗日先烈十三公紀念墓園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拔刀爾山登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
翡翠水庫環境學習中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湊合十八洞天,0,0,0,0,0,0,0,0.090909091,0.045454545,0,0,0,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,0,0,0,0.090909091,0.045454545,0.045454545,0.136363636,0.090909091,0,0,0
李茂岸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0
復興公園,0.107142857,0.035714286,0,0,0,0,0.071428571,0,0,0.035714286,0.035714286,0,0.017857143,0.089285714,0.017857143,0.035714286,0.089285714,0,0.017857143,0.035714286,0.035714286,0.053571429,0.089285714,0.035714286,0.071428571,0.035714286,0,0.017857143,0.071428571
北大特區藝術大道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瓊仔湖公園步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樹林體育園區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二坑隧道,0.111111111,0,0,0,0,0,0,0.222222222,0,0.055555556,0,0,0.111111111,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0
獅公髻尾山,0,0,0,0,0,0,0,0.333333333,0.055555556,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0.222222222,0.055555556,0,0,0
敢部隊指揮部碉堡遺址(文史影像公園),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烘爐地登山步道,0,0,0,0,0,0,0.071428571,0.214285714,0,0.214285714,0,0,0.142857143,0,0,0,0,0.071428571,0,0,0,0,0.071428571,0,0.142857143,0.071428571,0,0,0
福山景觀橋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九芎根步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
米倉國小,0,0,0.142857143,0,0,0,0.428571429,0,0,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0.142857143,0,0,0
關渡大橋,0.097826087,0.02173913,0.003623188,0.007246377,0,0.007246377,0.076086957,0.061594203,0.036231884,0.061594203,0.028985507,0,0.105072464,0.007246377,0.007246377,0.039855072,0.043478261,0.018115942,0,0.018115942,0.007246377,0.039855072,0.065217391,0.043478261,0.076086957,0.072463768,0,0.032608696,0.02173913
礦業老街,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(國定)大坌坑遺址,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重陽橋光雕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信賢瀑布,0.047619048,0.023809524,0.023809524,0.023809524,0.023809524,0,0.047619048,0.023809524,0.047619048,0.023809524,0.023809524,0,0.071428571,0.047619048,0,0.047619048,0.047619048,0.023809524,0.023809524,0.023809524,0.023809524,0.047619048,0.095238095,0.047619048,0.071428571,0.071428571,0,0.023809524,0.023809524
太極嶺、五城山系步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南天母山系步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
後村圳紀念碑,0.1,0,0.1,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0
烏來社區至保慶宮登山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimosa皮革文化館,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水晶博物館,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長福巖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千戶傳奇生態農場,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0,0.071428571,0.071428571,0,0,0
桶後,0.058823529,0,0.019607843,0.019607843,0,0,0,0.039215686,0.098039216,0.039215686,0,0,0.117647059,0.098039216,0,0.019607843,0.058823529,0,0,0,0,0.098039216,0.098039216,0.078431373,0.098039216,0.058823529,0,0,0
五股濕地,0.285714286,0,0,0,0,0,0.142857143,0,0,0,0.071428571,0,0.142857143,0,0,0,0,0,0,0,0,0,0.071428571,0.071428571,0,0.142857143,0.071428571,0,0
土城善息寺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拉號人文生態步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紫微聖母環山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二重環狀自行車道,0.178571429,0.035714286,0,0,0,0,0.071428571,0,0,0,0.107142857,0,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0.107142857,0.071428571,0.071428571,0.035714286,0,0.035714286
東獅頭山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海岸及觀音山國家風景區,0.126582278,0,0,0,0,0,0.025316456,0.025316456,0.025316456,0.063291139,0.025316456,0,0.164556962,0.025316456,0,0.025316456,0.063291139,0.025316456,0,0.012658228,0.012658228,0.050632911,0.025316456,0.050632911,0.101265823,0.113924051,0,0.012658228,0.025316456
柑園里─林家古厝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黃正南薄胎瓷碗工作室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大禮拜堂,0,0.125,0.25,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0
(八里)廖添丁廟(漢民祠),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新莊牡丹心生態公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日興宮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石門婚紗廣場,0.043478261,0.02173913,0.010869565,0.010869565,0.010869565,0,0.076086957,0.043478261,0.032608696,0.010869565,0.032608696,0,0.076086957,0.010869565,0,0.065217391,0.086956522,0.02173913,0.02173913,0.02173913,0.02173913,0.065217391,0.043478261,0.032608696,0.043478261,0.054347826,0.010869565,0.076086957,0.054347826
鶯歌石與長壽步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
淡水中正觀光市場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
保慶宮至公三公園步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
賞螢步道,0.222222222,0,0,0,0,0,0.111111111,0.055555556,0,0.055555556,0,0,0.055555556,0,0,0,0,0,0,0,0,0.055555556,0.111111111,0.055555556,0.222222222,0.055555556,0,0,0
三鶯二橋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大同山地母廟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
十八王公廟,0.055555556,0,0,0,0,0,0.111111111,0.388888889,0,0.055555556,0,0,0.111111111,0,0,0,0.055555556,0,0,0,0,0,0,0,0.111111111,0.111111111,0,0,0
火燄山系步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘露寺至安坑山步道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水碓觀景公園,0.1875,0,0,0,0,0,0,0.125,0.0625,0,0,0,0.0625,0,0,0,0.0625,0.1875,0.0625,0,0,0.0625,0.0625,0,0.0625,0,0,0,0.0625
連橫墓園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青龍嶺與大同山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
溝仔墘老街牌樓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石門風箏公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰山體育園區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坪林尾橋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
潤濟宮,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
天上山系步道,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0,0.2,0.1,0,0,0
西龍巖寺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
莊貢生古厝,0.041666667,0,0.041666667,0,0,0,0.166666667,0,0.041666667,0.041666667,0,0,0.041666667,0,0.083333333,0,0,0,0,0,0,0.125,0.166666667,0.083333333,0.083333333,0.041666667,0,0.041666667,0
汪洋居古厝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
